@relation staticFaceGestures

@attribute BrowLower real 
@attribute BrowRaiser real 
@attribute JawLower real 
@attribute LipCornerDepressor real 
@attribute LipRaiser real 
@attribute LipStretcher real 
@attribute gesture {Neutral, Yawn, Sad, Happy, ReiseEyeBrows} 

@data 
-2085, 762, 4600, 4744, 2816, 2034, Yawn
-2219, 210, 4676, 4840, 2903, 2492, Yawn
-2370, -326, 4783, 5166, 2619, 1822, Yawn
-2064, 141, 4769, 5409, 2333, 2157, Yawn
-2886, -191, 4487, 4597, 2447, 1606, Yawn
-3026, -208, 4489, 4862, 2586, 1734, Yawn
-3057, -31, 4393, 4304, 2959, 1990, Yawn
-3531, -123, 4157, 3799, 3780, 1840, Yawn
-3111, 91, 4357, 4144, 3722, 2145, Yawn
-3111, 91, 4357, 4144, 3722, 2145, Yawn
-3240, 479, 4218, 3852, 3858, 2501, Yawn
-3240, 479, 4218, 3852, 3858, 2501, Yawn
-3240, 479, 4218, 3852, 3858, 2501, Yawn
-3596, 121, 4192, 3607, 4150, 2215, Yawn
-3485, -135, 4200, 3871, 4292, 1354, Yawn
-3188, -39, 4399, 4392, 4147, 1918, Yawn
-3075, 222, 4230, 3936, 4131, 1844, Yawn
-2927, 265, 4299, 4120, 3947, 1765, Yawn
-2801, 554, 4337, 4386, 3930, 2511, Yawn
-2736, -49, 4558, 4528, 3623, 2522, Yawn
-2748, -23, 4511, 4781, 3527, 1698, Yawn
-2948, -105, 4569, 4562, 3400, 1902, Yawn
-2463, -407, 4727, 4688, 2862, 1680, Yawn
-2637, -399, 4647, 5121, 2701, 1245, Yawn
-2637, -399, 4647, 5121, 2701, 1245, Yawn
-2327, -104, 4702, 5274, 2554, 1819, Yawn
-2081, -322, 4684, 5561, 2514, 1981, Yawn
-2527, -114, 4585, 4760, 2594, 2166, Yawn
-2494, -315, 4641, 4562, 2776, 2522, Yawn
-2002, -76, 4682, 4866, 2719, 3188, Yawn
-2869, -529, 4640, 4560, 2833, 2821, Yawn
-2869, -529, 4640, 4560, 2833, 2821, Yawn
-3119, 695, 4496, 4317, 2775, 1708, Yawn
-3546, -132, 4629, 4312, 3042, 2034, Yawn
-2469, -353, 4987, 5445, 2524, 2227, Yawn
-2588, -91, 4821, 5550, 2467, 1924, Yawn
-2737, -78, 4945, 5462, 2314, 2055, Yawn
-2461, 75, 4804, 5327, 2678, 1996, Yawn
-2682, 37, 4808, 4894, 2633, 1876, Yawn
-2547, -158, 4869, 5321, 2703, 2101, Yawn
-2553, 227, 4738, 4932, 2768, 2081, Yawn
-3020, 456, 4452, 4204, 2630, 2620, Yawn
-3556, 1629, 3364, 3450, 3801, 2614, Yawn
-3639, 928, 2933, 2389, 3652, 932, Yawn
-2798, 635, 2983, 2696, 3496, 835, Yawn
-2287, -55, 2592, 2245, 2286, 774, Yawn
-2655, 85, 1387, 1111, 2162, -236, Yawn
-2260, 256, 643, 97, 2449, -1065, Yawn
-1787, 830, 246, -227, 2233, -1265, Yawn
-1591, 798, 291, -920, 2095, -270, Yawn
-1763, 1046, 37, -1406, 2566, -342, Yawn
-1489, 1504, -310, -2502, 3468, 892, Yawn
-902, 1402, -67, -2835, 3790, 2040, Yawn
-854, 1199, -290, -3175, 4265, 1406, Yawn
-814, 707, -316, -3074, 4259, 1438, Yawn
-913, 1115, -375, -3304, 4137, 1398, Yawn
-1209, 238, 55, -2700, 3776, 1289, Yawn
-1537, 382, 66, -3341, 3885, 3345, Yawn
-1066, 1102, 124, -2736, 3852, 3333, Yawn
-1216, 1668, 139, -4250, 4423, 3657, Yawn
-701, 225, 12, -4860, 4780, 114, Yawn
-462, 390, 87, -6218, 4662, -186, Yawn
100, 182, 319, -7250, 4836, 986, Yawn
2, 924, 173, -7402, 4963, 804, Yawn
1145, 1608, 242, -6830, 5318, 638, Yawn
-134, -416, 738, -396, 1656, 2083, Sad
-134, -416, 738, -396, 1656, 2083, Sad
-134, -416, 738, -396, 1656, 2083, Sad
-5, -234, 895, 41, 1493, 1665, Sad
176, 23, 841, -105, 1430, 1853, Sad
-119, -182, 856, -338, 1335, 1931, Sad
-291, -237, 795, -266, 1412, 1894, Sad
-291, -237, 795, -266, 1412, 1894, Sad
-291, -237, 795, -266, 1412, 1894, Sad
-291, -237, 795, -266, 1412, 1894, Sad
-291, -237, 795, -266, 1412, 1894, Sad
-291, -237, 795, -266, 1412, 1894, Sad
-159, 76, 762, -376, 1490, 1320, Sad
-274, -292, 838, -49, 1516, 1456, Sad
-270, -356, 728, 157, 1544, 1098, Sad
-270, -356, 728, 157, 1544, 1098, Sad
-270, -356, 728, 157, 1544, 1098, Sad
76, 224, 653, -219, 1665, 1197, Sad
80, -72, 541, 103, 1592, 984, Sad
80, -72, 541, 103, 1592, 984, Sad
