@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-7142, -15754, -6606, -7089, -13542, -4602, -7041, -7985, -578, 7437, -8319, -3272, 7256, -13932, -7204, 7441, -15660, -8896, Both_Hands_Down
-7154, -15743, -6631, -7115, -13535, -4623, -7056, -7982, -590, 7426, -8311, -3271, 7240, -13925, -7204, 7424, -15660, -8898, Both_Hands_Down
-7154, -15742, -6654, -7115, -13540, -4636, -7063, -7984, -604, 7422, -8319, -3274, 7232, -13932, -7210, 7413, -15661, -8903, Both_Hands_Down
-7138, -15682, -6718, -7026, -13518, -4664, -7059, -7978, -614, 7406, -8304, -3268, 7212, -13912, -7206, 7396, -15643, -8901, Both_Hands_Down
-7134, -15705, -6719, -7043, -13529, -4674, -7052, -7986, -620, 7409, -8305, -3268, 7211, -13915, -7213, 7394, -15650, -8911, Both_Hands_Down
-7125, -15712, -6704, -7054, -13527, -4669, -7046, -7980, -625, 7399, -8295, -3265, 7199, -13900, -7212, 7380, -15635, -8910, Both_Hands_Down
-7120, -15672, -6744, -6976, -13526, -4673, -7045, -7979, -632, 7393, -8281, -3257, 7189, -13883, -7207, 7377, -15616, -8897, Both_Hands_Down
-7098, -15679, -6736, -6972, -13535, -4662, -7035, -7979, -635, 7396, -8263, -3237, 7195, -13865, -7188, 7383, -15617, -8875, Both_Hands_Down
-7103, -15673, -6738, -6968, -13536, -4658, -7031, -7976, -635, 7395, -8251, -3220, 7202, -13856, -7168, 7400, -15628, -8837, Both_Hands_Down
-7106, -15715, -6688, -7030, -13538, -4648, -7022, -7975, -634, 7395, -8233, -3204, 7208, -13842, -7141, 7417, -15623, -8805, Both_Hands_Down
-7108, -15724, -6669, -7056, -13538, -4638, -7016, -7970, -631, 7398, -8212, -3188, 7228, -13839, -7119, 7426, -15620, -8777, Both_Hands_Down
-7089, -15690, -6692, -6993, -13517, -4651, -7009, -7964, -631, 7387, -8210, -3185, 7224, -13823, -7108, 7419, -15609, -8762, Both_Hands_Down
-7087, -15700, -6666, -7005, -13508, -4649, -7004, -7957, -632, 7377, -8209, -3184, 7213, -13818, -7105, 7406, -15594, -8754, Both_Hands_Down
-7085, -15706, -6649, -7025, -13500, -4647, -6998, -7950, -631, 7370, -8228, -3184, 7207, -13830, -7113, 7399, -15584, -8747, Both_Hands_Down
-7060, -15705, -6640, -7025, -13490, -4648, -6988, -7944, -629, 7367, -8226, -3182, 7201, -13825, -7114, 7392, -15576, -8740, Both_Hands_Down
-7048, -15705, -6646, -7021, -13489, -4654, -6978, -7947, -632, 7362, -8225, -3182, 7195, -13824, -7113, 7377, -15571, -8740, Both_Hands_Down
-7042, -15693, -6648, -7016, -13478, -4658, -6963, -7940, -636, 7351, -8217, -3182, 7183, -13813, -7109, 7365, -15555, -8729, Both_Hands_Down
-6997, -15677, -6696, -6936, -13433, -4741, -6947, -7944, -648, 7349, -8215, -3190, 7182, -13809, -7118, 7363, -15540, -8724, Both_Hands_Down
-6949, -15694, -6690, -6958, -13438, -4747, -6949, -7945, -658, 7347, -8211, -3194, 7194, -13796, -7139, 7370, -15522, -8734, Both_Hands_Down
-6963, -15683, -6691, -6964, -13431, -4747, -6935, -7936, -666, 7350, -8193, -3204, 7210, -13761, -7168, 7370, -15497, -8741, Both_Hands_Down
-6955, -15680, -6688, -6969, -13427, -4745, -6930, -7927, -674, 7358, -8182, -3214, 7211, -13755, -7170, 7372, -15481, -8740, Both_Hands_Down
-6943, -15347, -6551, -6801, -13417, -4764, -6931, -7929, -678, 7351, -8194, -3221, 7204, -13766, -7177, 7367, -15478, -8732, Both_Hands_Down
-6962, -15666, -6721, -6955, -13401, -4791, -6938, -7933, -671, 7351, -8188, -3221, 7192, -13765, -7170, 7355, -15486, -8723, Both_Hands_Down
-6980, -15680, -6705, -6976, -13422, -4767, -6936, -7942, -665, 7343, -8189, -3223, 7173, -13771, -7164, 7341, -15489, -8707, Both_Hands_Down
-6983, -15678, -6674, -6984, -13420, -4737, -6940, -7935, -649, 7323, -8195, -3224, 7138, -13774, -7164, 7312, -15484, -8701, Both_Hands_Down
-6993, -15649, -6679, -6946, -13431, -4698, -6944, -7931, -632, 7311, -8210, -3226, 7119, -13790, -7163, 7288, -15486, -8701, Both_Hands_Down
-7041, -15695, -6614, -7016, -13465, -4642, -6961, -7932, -614, 7304, -8223, -3220, 7107, -13812, -7154, 7264, -15514, -8708, Both_Hands_Down
-7079, -15721, -6578, -7045, -13483, -4612, -6973, -7938, -594, 7302, -8218, -3204, 7098, -13814, -7138, 7257, -15524, -8693, Both_Hands_Down
-6698, -15287, -7093, -6847, -13035, -5254, -6856, -7642, -1265, 7284, -7755, -2846, 7331, -13155, -6822, 7818, -14978, -8692, Both_Hands_Down
-6693, -15282, -7093, -6843, -13036, -5249, -6849, -7641, -1272, 7329, -7724, -2855, 7407, -13125, -6823, 7925, -14941, -8682, Both_Hands_Down
-6639, -15280, -7069, -6821, -13029, -5236, -6841, -7637, -1266, 7370, -7741, -2887, 7431, -13177, -6857, 7954, -14902, -8676, Both_Hands_Down
-6618, -15270, -7045, -6806, -13015, -5220, -6811, -7630, -1239, 7386, -7759, -2916, 7432, -13164, -6866, 7958, -14896, -8685, Both_Hands_Down
-6575, -15277, -7029, -6773, -13022, -5203, -6802, -7632, -1228, 7374, -7762, -2924, 7422, -13161, -6885, 7952, -14886, -8692, Both_Hands_Down
-6547, -15313, -6989, -6725, -13060, -5153, -6797, -7646, -1207, 7382, -7796, -2948, 7408, -13195, -6920, 7934, -14908, -8699, Both_Hands_Down
-6527, -15349, -6973, -6712, -13090, -5144, -6790, -7673, -1195, 7379, -7796, -2961, 7387, -13191, -6943, 7877, -14908, -8719, Both_Hands_Down
-6497, -15381, -6936, -6691, -13108, -5124, -6771, -7689, -1180, 7380, -7780, -2963, 7372, -13169, -6954, 7852, -14899, -8733, Both_Hands_Down
-6483, -15388, -6920, -6676, -13112, -5114, -6756, -7698, -1166, 7380, -7767, -2969, 7363, -13152, -6962, 7835, -14897, -8752, Both_Hands_Down
-6472, -15378, -6910, -6660, -13104, -5105, -6744, -7697, -1159, 7387, -7738, -2971, 7359, -13115, -6963, 7838, -14870, -8754, Both_Hands_Down
-6469, -15384, -6908, -6655, -13107, -5107, -6735, -7706, -1159, 7423, -7726, -2985, 7360, -13103, -6969, 7849, -14856, -8757, Both_Hands_Down
-6454, -14968, -6670, -6541, -13082, -5111, -6727, -7700, -1155, 7439, -7729, -3001, 7397, -13094, -6987, 7869, -14816, -8734, Both_Hands_Down
-6453, -14949, -6662, -6538, -13084, -5101, -6713, -7705, -1153, 7436, -7711, -3004, 7397, -13072, -6981, 7866, -14802, -8726, Both_Hands_Down
-6448, -14933, -6657, -6553, -13074, -5099, -6711, -7700, -1151, 7425, -7703, -3003, 7396, -13063, -6978, 7893, -14802, -8719, Both_Hands_Down
-6448, -15333, -6910, -6567, -13071, -5099, -6700, -7696, -1152, 7415, -7702, -3004, 7384, -13064, -6973, 7883, -14814, -8720, Both_Hands_Down
-6452, -15328, -6909, -6577, -13066, -5099, -6684, -7690, -1154, 7413, -7703, -3009, 7381, -13066, -6975, 7870, -14820, -8717, Both_Hands_Down
-6465, -15335, -6908, -6584, -13063, -5106, -6678, -7685, -1154, 7414, -7715, -3015, 7381, -13082, -6984, 7858, -14841, -8729, Both_Hands_Down
-6450, -15331, -6908, -6569, -13051, -5117, -6655, -7685, -1152, 7414, -7717, -3018, 7380, -13082, -6986, 7852, -14843, -8729, Both_Hands_Down
-6448, -15350, -6921, -6558, -13069, -5128, -6635, -7702, -1157, 7417, -7724, -3021, 7373, -13093, -6989, 7852, -14859, -8737, Both_Hands_Down
-6441, -15335, -6916, -6552, -13053, -5126, -6624, -7695, -1152, 7405, -7704, -3015, 7366, -13069, -6980, 7832, -14842, -8727, Both_Hands_Down
-6438, -15354, -6920, -6545, -13068, -5132, -6618, -7706, -1154, 7421, -7673, -3001, 7375, -13044, -6968, 7837, -14840, -8725, Both_Hands_Down
-6443, -15356, -6914, -6549, -13067, -5128, -6618, -7702, -1153, 7420, -7650, -2988, 7369, -13020, -6956, 7832, -14836, -8732, Both_Hands_Down
