@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {@Left_Hand_Up, @Left_Hand_To_The_Left, @Left_Hand_To_The_Right, @Right_Hand_Up, @Right_Hand_To_The_Left, @Right_Hand_To_The_Right, @Both_Hands_Up, @Both_Hands_Down} 

@data 
-6253, 3674, -18717, -7002, 2549, -17359, -7690, 534, -10916, 3934, -7793, -337, 1946, -14420, -3556, 563, -16594, -4971, 
-6242, 3680, -18718, -6993, 2550, -17359, -7695, 530, -10916, 3945, -7738, -314, 3350, -13751, -2864, 1899, -15942, -4184, 
-6240, 3696, -18730, -6989, 2563, -17369, -7710, 527, -10924, 3947, -7773, -318, 2074, -14472, -3536, 592, -16594, -4940, 
-6247, 3703, -18735, -6994, 2569, -17379, -7736, 519, -10931, 3945, -7786, -317, 2070, -14478, -3529, 587, -16600, -4935, 
-6247, 3714, -18735, -6994, 2582, -17392, -7748, 527, -10937, 3948, -7786, -311, 3234, -13807, -2883, 1806, -16022, -4207, 
-6250, 3725, -18746, -6995, 2594, -17410, -7756, 517, -10950, 3950, -7807, -313, 1977, -14429, -3561, 563, -16619, -4945, 
-6256, 3736, -18746, -6997, 2608, -17423, -7767, 521, -10958, 3954, -7806, -313, 1980, -14430, -3550, 557, -16614, -4940, 
-6255, 3740, -18738, -6992, 2618, -17430, -7769, 527, -10962, 3957, -7817, -328, 1839, -14452, -3606, 494, -16689, -4990, 
-6282, 3750, -18791, -7019, 2628, -17493, -7798, 525, -10997, 3975, -7853, -329, 1850, -14505, -3594, 491, -16741, -4990, 
-6295, 3753, -18797, -7022, 2641, -17530, -7799, 550, -11016, 3974, -7860, -326, 3284, -13941, -2944, 1834, -16177, -4252, 
-6315, 3767, -18837, -7042, 2658, -17579, -7823, 556, -11044, 3974, -7893, -326, 2073, -14441, -3467, 608, -16620, -4870, 
-6307, 3778, -18838, -7033, 2673, -17593, -7834, 559, -11055, 3973, -7907, -320, 2043, -14512, -3507, 568, -16692, -4902, 
-6297, 3786, -18834, -7029, 2692, -17621, -7797, 585, -11074, 3963, -7912, -316, 1970, -14521, -3517, 535, -16727, -4912, 
-6299, 3797, -18884, -7039, 2703, -17678, -7810, 592, -11106, 3983, -7950, -303, 3307, -14097, -2915, 1833, -16339, -4234, 
-6300, 3788, -18890, -7039, 2693, -17684, -7834, 582, -11108, 3991, -7972, -315, 3304, -14138, -2890, 1830, -16382, -4212, 
-6303, 3772, -18902, -7036, 2677, -17703, -7853, 558, -11118, 4001, -8028, -312, 3266, -14165, -2987, 1805, -16445, -4280, 
-6262, 3789, -18848, -6995, 2693, -17659, -7839, 565, -11097, 4008, -7993, -298, 2029, -14613, -3439, 592, -16834, -4843, 
-6252, 3782, -18821, -6980, 2695, -17656, -7794, 575, -11097, 4006, -7995, -304, 3520, -14201, -2786, 1976, -16392, -4115, 
-6248, 3782, -18835, -6981, 2688, -17682, -7779, 571, -11112, 4012, -8024, -308, 2088, -14642, -3413, 613, -16838, -4817, 
-6236, 3776, -18818, -6963, 2684, -17672, -7759, 558, -11111, 4005, -7917, -283, 2099, -14644, -3396, 620, -16832, -4806, 
-6236, 3775, -18812, -6963, 2685, -17668, -7749, 557, -11111, 4005, -7928, -290, 2098, -14643, -3396, 616, -16831, -4805, 
-6237, 3777, -18800, -6964, 2687, -17654, -7754, 556, -11103, 4005, -7931, -298, 2093, -14631, -3393, 615, -16820, -4802, 
-6238, 3785, -18802, -6969, 2694, -17659, -7750, 559, -11106, 4003, -7940, -304, 2090, -14633, -3390, 612, -16821, -4801, 
-6255, 3807, -18849, -7000, 2695, -17674, -7807, 557, -11109, 4014, -7967, -313, 1938, -14659, -3385, 564, -16897, -4842, 
-6249, 3829, -18862, -6992, 2713, -17683, -7795, 557, -11119, 4016, -7966, -316, 1960, -14658, -3381, 569, -16887, -4842, 
-6232, 3821, -18857, -6977, 2704, -17681, -7788, 538, -11123, 4023, -7979, -318, 1994, -14669, -3368, 584, -16883, -4835, 
-6190, 3835, -18849, -6945, 2698, -17649, -7808, 506, -11111, 4028, -7982, -318, 2017, -14669, -3363, 594, -16872, -4830, 
-6182, 3835, -18890, -6942, 2688, -17672, -7815, 489, -11127, 4034, -8021, -322, 2042, -14719, -3372, 598, -16913, -4843, 
-6171, 3837, -18882, -6935, 2683, -17658, -7813, 481, -11121, 4039, -8034, -326, 2055, -14718, -3369, 597, -16901, -4841, 
-6158, 3845, -18879, -6917, 2685, -17648, -7814, 474, -11118, 4040, -8029, -323, 2070, -14721, -3361, 603, -16894, -4838, 
-6160, 3853, -18909, -6917, 2689, -17672, -7810, 477, -11133, 4043, -8045, -326, 2185, -14816, -3342, 602, -16901, -4835, 
-6157, 3858, -18925, -6909, 2690, -17682, -7807, 477, -11140, 4085, -7894, -248, 2204, -14768, -3321, 639, -16872, -4812, 
-6147, 3872, -18947, -6906, 2693, -17690, -7809, 473, -11145, 4089, -7947, -268, 2199, -14781, -3332, 633, -16888, -4824, 
-6145, 3875, -18962, -6910, 2688, -17696, -7804, 466, -11150, 4081, -7988, -284, 2184, -14798, -3350, 622, -16910, -4840, 
-6142, 3877, -18959, -6907, 2687, -17684, -7813, 459, -11144, 4078, -8007, -289, 2183, -14796, -3351, 620, -16908, -4841, 
-6133, 3879, -18948, -6901, 2687, -17671, -7807, 458, -11137, 4071, -8003, -293, 2182, -14750, -3328, 632, -16866, -4823, 
-6114, 3890, -18934, -6889, 2693, -17654, -7796, 464, -11130, 4064, -7999, -300, 3556, -14250, -2682, 2003, -16442, -4052, 
-6114, 3895, -18947, -6889, 2696, -17664, -7796, 463, -11137, 4069, -7921, -274, 2250, -14750, -3329, 647, -16834, -4812, 
-6106, 3901, -18952, -6888, 2700, -17669, -7795, 466, -11140, 4073, -7957, -288, 2243, -14754, -3330, 642, -16842, -4815, 
-6109, 3909, -18959, -6890, 2707, -17677, -7791, 478, -11143, 4077, -7978, -298, 3474, -14224, -2699, 1926, -16425, -4072, 
-6098, 3913, -18962, -6881, 2710, -17681, -7779, 479, -11147, 4083, -8005, -305, 3473, -14246, -2719, 1914, -16441, -4090, 
-6092, 3925, -18977, -6880, 2722, -17700, -7757, 493, -11159, 4087, -8019, -314, 1932, -14676, -3361, 563, -16914, -4864, 
-6087, 3927, -18974, -6875, 2720, -17688, -7769, 487, -11153, 4083, -8034, -321, 1994, -14700, -3360, 575, -16912, -4856, 
-6075, 3919, -18950, -6859, 2712, -17666, -7782, 480, -11140, 4261, -6972, 19, 2010, -14694, -3347, 588, -16902, -4842, 
-6074, 3920, -18959, -6857, 2718, -17691, -7772, 479, -11157, 4157, -7737, -241, 2050, -14724, -3333, 599, -16914, -4831, 
-6076, 3919, -18974, -6859, 2718, -17717, -7777, 480, -11169, 4172, -7721, -222, 3514, -13962, -2676, 1981, -16209, -4009, 
-6075, 3918, -18973, -6858, 2722, -17729, -7766, 480, -11177, 4299, -7111, 9, 3572, -13341, -2467, 2040, -15590, -3800, 
-6081, 3914, -18990, -6868, 2730, -17757, -7774, 495, -11187, 4199, -7946, -276, 3477, -14203, -2718, 1947, -16458, -4056, 
-6104, 3910, -19020, -6892, 2715, -17756, -7850, 494, -11178, 4190, -8023, -292, 3583, -14318, -2686, 1952, -16492, -4050, 
-6108, 3918, -19023, -6895, 2719, -17755, -7872, 506, -11173, 4190, -8030, -286, 2269, -14794, -3325, 662, -16938, -4768, 
-6127, 3922, -19037, -6917, 2719, -17761, -7894, 504, -11174, 4205, -7881, -235, 3447, -14119, -2781, 1914, -16402, -4091, 
-6133, 3934, -19059, -6927, 2727, -17782, -7899, 505, -11185, 4210, -7963, -247, 3444, -14213, -2788, 1909, -16497, -4104, 
-6143, 3933, -19080, -6943, 2731, -17812, -7889, 505, -11202, 4226, -7806, -186, 3599, -14103, -2659, 2039, -16368, -3990, 
-6147, 3932, -19087, -6947, 2737, -17841, -7870, 510, -11220, 4411, -6451, 299, 3702, -12733, -2217, 2151, -15004, -3550, 
-6148, 3933, -19089, -6949, 2738, -17849, -7865, 511, -11225, 4247, -7733, -167, 3555, -14034, -2638, 2005, -16305, -3973, 
-6143, 3927, -19075, -6945, 2734, -17835, -7867, 493, -11221, 4233, -7715, -161, 3486, -14009, -2622, 1867, -16212, -3987, 
-6146, 3916, -19076, -6949, 2728, -17853, -7855, 489, -11232, 4385, -6458, 285, 3631, -12749, -2229, 2126, -15021, -3612, 
-6141, 3906, -19055, -6943, 2724, -17842, -7853, 483, -11226, 4386, -6389, 301, 3627, -12668, -2204, 2113, -14936, -3575, 
-6150, 3909, -19082, -6943, 2735, -17895, -7836, 494, -11258, 4343, -6705, 189, 3573, -13001, -2311, 2065, -15285, -3677, 
-6155, 3915, -19089, -6942, 2752, -17930, -7830, 505, -11280, 4299, -7136, 32, 3509, -13454, -2438, 1984, -15727, -3812, 
